"","year","country","percentage_no"
"1",1947,"China",0
"2",1949,"China",0
"3",1952,"China",0
"4",1953,"China",0
"5",1955,"China",0
"6",1957,"China",0
"7",1959,"China",0
"8",1961,"China",0
"9",1962,"China",0
"10",1963,"China",0
"11",1965,"China",0
"12",1967,"China",0
"13",1968,"China",0
"14",1969,"China",0
"15",1971,"China",0.204545454545455
"16",1973,"China",0.0985915492957746
"17",1975,"China",0.0810810810810811
"18",1977,"China",0.0689655172413793
"19",1979,"China",0
"20",1981,"China",0
"21",1983,"China",0.0065359477124183
"22",1985,"China",0
"23",1987,"China",0
"24",1989,"China",0
"25",1991,"China",0
"26",1993,"China",0.046875
"27",1995,"China",0.0789473684210526
"28",1996,"China",0
"29",1997,"China",0.051948051948052
"30",1998,"China",0
"31",1999,"China",0.0379746835443038
"32",2000,"China",0
"33",2001,"China",0.025
"34",2002,"China",0
"35",2003,"China",0.0298507462686567
"36",2004,"China",0
"37",2005,"China",0.0540540540540541
"38",2006,"China",0
"39",2007,"China",0.0526315789473684
"40",2008,"China",0
"41",2009,"China",0.0326086956521739
"42",2010,"China",0
"43",2011,"China",0.0344827586206897
"44",2012,"China",1
"45",2013,"China",0.0240963855421687
"46",2014,"China",0
"47",1947,"France",0.25
"48",1949,"France",0.351851851851852
"49",1952,"France",0.666666666666667
"50",1953,"France",0.272727272727273
"51",1955,"France",0.3
"52",1957,"France",0.478260869565217
"53",1959,"France",0.292682926829268
"54",1961,"France",0.486486486486487
"55",1962,"France",0.272727272727273
"56",1963,"France",0.388888888888889
"57",1965,"France",0.142857142857143
"58",1967,"France",0.145833333333333
"59",1968,"France",0
"60",1969,"France",0.157894736842105
"61",1971,"France",0.272727272727273
"62",1973,"France",0.169014084507042
"63",1975,"France",0.0675675675675676
"64",1977,"France",0.0919540229885057
"65",1979,"France",0.160377358490566
"66",1981,"France",0.198347107438017
"67",1983,"France",0.261437908496732
"68",1985,"France",0.315068493150685
"69",1987,"France",0.305343511450382
"70",1989,"France",0.254098360655738
"71",1991,"France",0.238095238095238
"72",1993,"France",0.234375
"73",1995,"France",0.157894736842105
"74",1996,"France",0
"75",1997,"France",0.155844155844156
"76",1998,"France",0
"77",1999,"France",0.164556962025316
"78",2000,"France",0
"79",2001,"France",0.175
"80",2002,"France",0
"81",2003,"France",0.223880597014925
"82",2004,"France",0
"83",2005,"France",0.216216216216216
"84",2006,"France",0
"85",2007,"France",0.273684210526316
"86",2008,"France",0
"87",2009,"France",0.239130434782609
"88",2010,"France",0
"89",2011,"France",0.229885057471264
"90",2012,"France",0
"91",2013,"France",0.289156626506024
"92",2014,"France",0
"93",1947,"Russia",0.3
"94",1949,"Russia",0.203703703703704
"95",1952,"Russia",0.25
"96",1953,"Russia",0.136363636363636
"97",1955,"Russia",0.6
"98",1957,"Russia",0.391304347826087
"99",1959,"Russia",0.170731707317073
"100",1961,"Russia",0.27027027027027
"101",1962,"Russia",0.0909090909090909
"102",1963,"Russia",0.111111111111111
"103",1965,"Russia",0.107142857142857
"104",1967,"Russia",0.0625
"105",1968,"Russia",0
"106",1969,"Russia",0.0789473684210526
"107",1971,"Russia",0.170454545454545
"108",1973,"Russia",0.0422535211267606
"109",1975,"Russia",0.0810810810810811
"110",1977,"Russia",0
"111",1979,"Russia",0.122641509433962
"112",1981,"Russia",0.0495867768595041
"113",1983,"Russia",0.0196078431372549
"114",1985,"Russia",0.0410958904109589
"115",1987,"Russia",0.00763358778625954
"116",1989,"Russia",0
"117",1991,"Russia",0
"118",1993,"Russia",0.09375
"119",1995,"Russia",0.105263157894737
"120",1996,"Russia",0
"121",1997,"Russia",0.0649350649350649
"122",1998,"Russia",0
"123",1999,"Russia",0.0886075949367089
"124",2000,"Russia",0
"125",2001,"Russia",0.05
"126",2002,"Russia",0
"127",2003,"Russia",0.0597014925373134
"128",2004,"Russia",0
"129",2005,"Russia",0.0810810810810811
"130",2006,"Russia",0
"131",2007,"Russia",0.0842105263157895
"132",2008,"Russia",0.5
"133",2009,"Russia",0.0760869565217391
"134",2010,"Russia",0.25
"135",2011,"Russia",0.0804597701149425
"136",2012,"Russia",1
"137",2013,"Russia",0.132530120481928
"138",2014,"Russia",0.5
"139",1947,"United Kingdom",0.4
"140",1949,"United Kingdom",0.518518518518518
"141",1952,"United Kingdom",0.833333333333333
"142",1953,"United Kingdom",0.454545454545455
"143",1955,"United Kingdom",0.6
"144",1957,"United Kingdom",0.478260869565217
"145",1959,"United Kingdom",0.414634146341463
"146",1961,"United Kingdom",0.405405405405405
"147",1962,"United Kingdom",0.363636363636364
"148",1963,"United Kingdom",0.277777777777778
"149",1965,"United Kingdom",0.25
"150",1967,"United Kingdom",0.541666666666667
"151",1968,"United Kingdom",0
"152",1969,"United Kingdom",0.263157894736842
"153",1971,"United Kingdom",0.295454545454545
"154",1973,"United Kingdom",0.183098591549296
"155",1975,"United Kingdom",0.162162162162162
"156",1977,"United Kingdom",0.114942528735632
"157",1979,"United Kingdom",0.245283018867925
"158",1981,"United Kingdom",0.239669421487603
"159",1983,"United Kingdom",0.320261437908497
"160",1985,"United Kingdom",0.342465753424658
"161",1987,"United Kingdom",0.312977099236641
"162",1989,"United Kingdom",0.286885245901639
"163",1991,"United Kingdom",0.261904761904762
"164",1993,"United Kingdom",0.265625
"165",1995,"United Kingdom",0.25
"166",1996,"United Kingdom",0
"167",1997,"United Kingdom",0.220779220779221
"168",1998,"United Kingdom",0
"169",1999,"United Kingdom",0.20253164556962
"170",2000,"United Kingdom",0
"171",2001,"United Kingdom",0.2125
"172",2002,"United Kingdom",0
"173",2003,"United Kingdom",0.26865671641791
"174",2004,"United Kingdom",0
"175",2005,"United Kingdom",0.256756756756757
"176",2006,"United Kingdom",0
"177",2007,"United Kingdom",0.294736842105263
"178",2008,"United Kingdom",0
"179",2009,"United Kingdom",0.271739130434783
"180",2010,"United Kingdom",0
"181",2011,"United Kingdom",0.275862068965517
"182",2012,"United Kingdom",0
"183",2013,"United Kingdom",0.349397590361446
"184",2014,"United Kingdom",0.5
"185",1947,"United States",0.25
"186",1949,"United States",0.518518518518518
"187",1952,"United States",0.583333333333333
"188",1953,"United States",0.272727272727273
"189",1955,"United States",0.3
"190",1957,"United States",0.260869565217391
"191",1959,"United States",0.341463414634146
"192",1961,"United States",0.405405405405405
"193",1962,"United States",0.363636363636364
"194",1963,"United States",0.277777777777778
"195",1965,"United States",0.321428571428571
"196",1967,"United States",0.520833333333333
"197",1968,"United States",0
"198",1969,"United States",0.394736842105263
"199",1971,"United States",0.284090909090909
"200",1973,"United States",0.323943661971831
"201",1975,"United States",0.337837837837838
"202",1977,"United States",0.252873563218391
"203",1979,"United States",0.433962264150943
"204",1981,"United States",0.578512396694215
"205",1983,"United States",0.705882352941177
"206",1985,"United States",0.650684931506849
"207",1987,"United States",0.66412213740458
"208",1989,"United States",0.647540983606557
"209",1991,"United States",0.654761904761905
"210",1993,"United States",0.609375
"211",1995,"United States",0.578947368421053
"212",1996,"United States",0.5
"213",1997,"United States",0.597402597402597
"214",1998,"United States",1
"215",1999,"United States",0.670886075949367
"216",2000,"United States",1
"217",2001,"United States",0.7375
"218",2002,"United States",1
"219",2003,"United States",0.791044776119403
"220",2004,"United States",1
"221",2005,"United States",0.810810810810811
"222",2006,"United States",1
"223",2007,"United States",0.821052631578947
"224",2008,"United States",0.5
"225",2009,"United States",0.706521739130435
"226",2010,"United States",0.5
"227",2011,"United States",0.71264367816092
"228",2012,"United States",0
"229",2013,"United States",0.759036144578313
"230",2014,"United States",0.5
